"48978","-based","","","","",""
"47993","-driven","","","","",""
"51612","-like","","","","",""
"49738","1","","","","",""
"49747","10","","","","",""
"50859","100","","","","",""
"50175","1000","","","","",""
"3077","1st","","ファースト","","",""
"41787","2D","","","","",""
"3078","2nd","","セカンド","","",""
"51614","3rd","","","","",""
"5730","A.M.","","","","",""
"41768","ACID","","アシッド","","",""
"45329","ACL","","エーシーエル","","",""
"46561","AI","","エーアイ","","",""
"48055","ALM","","","","",""
"42411","AMF","","","","",""
"44806","AND","","アンド","","",""
"44990","AOP","","","","",""
"41762","API","","エーピーアイ","","",""
"47250","AR","","エーアール","","",""
"52204","ARGV","","","","",""
"41518","ASCII","","アスキー","","",""
"49239","ATM card","","","","",""
"3257","Ajax","ˈeɪ.dʒæks","エイジャックス","","",""
"41817","April","aˈpʀɪl","エイプリル","","",""
"41824","August","ˈɔːgəst","オーガスト","","",""
"50944","B-tree","","","","",""
"48980","BASIC","","ベーシック","","",""
"43770","BBS","","ビービーエス","","",""
"4107","BCC","","","","",""
"49815","Bezier curve","","","","",""
"46021","Boolean","","ブーリアン","","",""
"46019","Boolean data type","","","","",""
"44670","C","","","","",""
"46270","C++","","","","",""
"42385","CAPTCHA","","キャプチャ","","",""
"43965","CC","","","","",""
"41764","CGI","","シージーアイ","","",""
"41971","CMS","","シーエムエス","","",""
"50817","CMY","","","","",""
"3297","COD","","","","",""
"44607","CSS","","シーエスエス","","",""
"42044","CSV","","シーエスブイ","","",""
"51953","Cartesian coordinate","","","","",""
"41747","DAO","","ディーエーオー","","",""
"44629","DB","","ディービー","","",""
"50668","DBCS","","","","",""
"47509","DCOM","","","","",""
"47975","DDD","","","","",""
"47507","DHT","","","","",""
"44988","DI","","ディーアイ","","",""
"51366","DML","","","","",""
"42409","DOM","","","","",""
"41770","DRM","","ディーアールエム","","",""
"41749","DTO","","","","",""
"41832","December","dɪˈsembə","ディセンバー","","",""
"5619","Diffie-Hellman key exchange","","","","",""
"49346","EA","","","","",""
"43803","EC","","イーシー","","",""
"41766","ER","","イーアール","","",""
"49350","ER diagram","","","","",""
"49348","ERD","","","","",""
"41767","ERP","","","","",""
"45698","English","ˈɪŋ.ɡlɪʃ","イングリッシュ","","",""
"49344","Enter","","エンター","Enters","",""
"45509","Ethernet","","イーサネット","","",""
"42255","FAQ","","エフエーキュー","","",""
"50411","FIFO","","ファイフォ,フィフォ","","",""
"50857","FORTRAN","","フォートラン","","",""
"51918","FQDN","","","","",""
"42054","FTP","","エフティーピー","","",""
"41813","February","ˈfɛbɹʊəɹɪ,ˈfɛbɹʊˌɛɹɪ","フェブラリー","","",""
"47545","Fourier transform","","","","",""
"43188","Friday","ˈfɹaɪdeɪ,ˈfraɪdi","フライデー","","",""
"50341","GC","","ジーシー","","",""
"51595","GCD","","","","",""
"41771","GPL","","ジーピーエル","","",""
"50340","GUI","","ジーユーアイ","","",""
"5427","Gaussian distribution","","","","",""
"49408","Google","ˈɡuːɡəl","グーグル","","",""
"45090","Gregorian calendar","","グレゴリオカレンダー","","",""
"50819","HLS","","","","",""
"51961","HQ","","","","",""
"50818","HSV","","","","",""
"44676","HTML","","エイチティーエムエル","","",""
"44356","HTTP","","エイチティーティーピー","","",""
"47635","Hello world","","ハローワールド","","",""
"50318","Hungarian notation","","","","",""
"52087","I","","","","",""
"43846","I/O","","アイオー","","",""
"48840","ID","","","","",""
"50616","IO","","","","",""
"44246","IP address","","アイピーアドレス","IP addresses","",""
"51984","IR","","","","",""
"45984","ISP","","アイエスピー","","",""
"41780","IT","","アイティー","","",""
