"40719","減少"
"40720","減少させる"
"40722","増加させる"
"40723","インクリメントする"
"40724","増加"
"40725","増大"
"40726","インクリメント"
"40728","必要とする"
"40729","要求する"
"40731","尋ねる"
"40733","問い合わせる"
"40735","プロシージャ"
"40736","手順"
"40737","方法"
"40738","手続き"
"40740","カレンダー"
"40741","暦"
"40743","主題"
"40746","テーマ"
"40749","セットアップ"
"40750","準備"
"40751","設定"
"40753","言語"
"40754","言葉"
"40761","ローケル"
"40762","場所"
"40765","枠組"
"40766","フレームワーク"
"40768","記述"
"40770","説明"
"40771","解説"
"40774","開発"
"40781","開発する"
"40784","表示する"
"40785","展示する"
"40786","陳列する"
"40787","ディスプレイ"
"40788","表示"
"40790","ページ"
"40791","ページを付ける"
"40794","やぐら"
"40796","要素"
"40797","成分"
"40799","振る舞い"
"40800","行動"
"40801","挙動"
"40804","平方根"
"40805","ルート"
"40809","あだ名"
"40810","愛称"
"40811","略称"
"40813","～の方を好む"
"40814","～の方を選ぶ"
"40817","許す"
"40818","許可する"
"40823","手動の"
"40824","マニュアル"
"40827","抜粋"
"40831","無害化する"
"40835","ラベル"
"40836","荷札"
"40839","可視の"
"40841","動く"
"40842","移動する"
"40843","動かす"
"40846","お知らせ"
"40847","通知"
"40848","通告"
"40852","パーミッション"
"40853","許可"
"40854","承諾"
"40856","配置"
"40860","無効化する"
"40861","無効にする"
"40864","仮想の"
"40869","材料"
"40870","原料"
"40871","構成要素"
"40874","素材"
"40876","満了する"
"40877","期限が切れる"
"40879","限界"
"40880","制限"
"40881","極限"
"40882","境界"
"40883","許容量"
"40885","延期する"
"40886","延ばす"
"40888","遅延"
"40891","多すぎる"
"40894","止める"
"40895","停止する"
"40896","中断する"
"40898","停止"
"40899","中止"
"40900","中断"
"40904","予約"
"40905","指定"
"40907","予約する"
"40920","リセットする"
"40922","ウィンドウ"
"40923","窓"
"40926","編集する"
"40928","エディター"
"40929","編集者"
"40932","実行する"
"40933","走らせる"
"40935","走る"
"40938","ヒント"
"40942","好み"
"40943","嗜好"
"40948","リネームする"
"40953","インポートする"
"40954","取り込む"
"40955","インポート"
"40956","取り込み"
"40957","輸入する"
"40958","輸入"
"40960","エクスポートする"
"40961","輸出する"
"40963","輸出"
"40964","輸出品"
"40966","新しい"
"40967","新品の"
"40968","新規の"
"40969","最近"
"40971","新しく"
"40973","きれいにする"
"40974","取り除く"
"40977","プロフィール"
"40978","分析"
"40980","連結する"
"40981","結びつける"
"40982","接続する"
"40987","拡大する"
"40988","拡張する"
"40989","展開する"
"40990","広げる"
"40991","広がる"
"40998","折り畳み式の"
"41002","折り畳む"
"41003","畳む"
"41006","項目"
"41011","商品"
"41012","品物"
"41014","記事"
"41019","失敗する"
"41021","失敗"
"41027","急行"
"41028","速達"
"41030","表現する"
"41031","速達で送る"
"41032","特別の"
"41033","速達の"
"41034","急行の"
"41035","速達で"
"41036","急行で"
"41038","表現"
"41039","表現法"
"41041","式"
"41043","公式"
"41049","長さ"
"41051","範囲"
"41057","プロトコル"
"41060","ロック"
"41061","鍵"
"41062","鍵を掛ける"
"41063","ロックする"
"41065","開錠する"
"41067","解除する"
"41069","ソケット"
"41071","一致する"
"41074","マッチする"
"41075","一致させる"
"41076","マッチさせる"
"41078","返事をする"
"41079","応答する"
"41080","反応する"
"41083","ソース"
"41084","元"
"41085","原因"
"41088","割る"
"41091","スキャン"
"41092","走査"
"41093","スキャンする"
"41094","走査する"
"41099","スキャナ"
"41106","コード化する"
"41107","符号化する"
"41108","エンコードする"
"41112","復号化する"
"41113","デコードする"
"41116","絶対の"
"41117","絶対的な"
"41118","完全な"
"41120","集める"
"41121","集合"
"41126","控え"
"41127","メモ"
"41130","注目"
"41131","注意"
"41135","取り出す"
"41140","積み上げる"
"41142","トレース"
"41146","追跡する"
"41148","分割する"
"41150","塊"
"41153","結合する"
"41159","上昇する"
"41166","ひっくり返す"
"41167","反転させる"
"41170","基礎"
"41173","基底"
"41176","記録"
"41177","経歴"
"41178","業績"
"41179","成績"
"41180","最高記録"
"41181","レコード"
"41186","公共の"
"41188","公開の"
"41191","後の"
"41192","次の"
"41193","後に"
"41195","後で"
"41197","正常化する"
"41198","標準化する"
"41199","正規化する"
"41202","接頭辞"
"41203","プレフィックス"
"41206","シンボル"
"41207","記号"
"41208","符号"
"41210","選択肢"
"41211","選択すること"
"41214","結果"
"41216","成果"
"41217","効果"
"41219","スキーム"
"41220","計画"
"41221","案"
"41224","注釈"
"41226","続ける"
"41227","継続する"
"41228","続く"
"41232","挟む"
"41234","バージョン"
"41238","検索"
"41240","報告"
"41241","報道"
"41242","報告書"
"41244","帳票"
"41246","スキーマ"
"41249","概要"
"41251","ソート"
"41252","並べ替え"
"41253","ソートする"
"41254","分類する"
"41255","並べ替える"
"41257","用法"
"41259","利用方法"
"41262","クッキー"
"41264","自由な"
"41265","無料の"
"41266","無料で"
"41267","自由にする"
"41268","解放する"
"41271","外す"
"41272","設定されていない"
"41273","未設定の"
"41276","修理する"
"41277","修繕する"
"41278","修繕"
"41279","修理"
"41282","コミットする"
"41284","スクロール"
"41285","スクロールする"
"41288","ページ番号を付ける"
"41291","ページ付け"
"41294","ページ数"
"41298","基準"
"41299","規準"
"41301","複製の"
"41302","複写する"
"41303","複製する"
"41307","集団"
"41308","グループ"
"41310","部分"
"41313","援助する"
"41314","サポートする"
"41315","サポート"
"41318","援助"
"41321","オフセット"
"41327","ロールバック"
"41330","のぞく"
"41333","受信する"
"41334","受け取る"
"41337","単一の"
"41338","単式の"
"41342","妥当な"
"41343","正当な"
"41344","有効な"
"41346","提案する"
"41351","サイズ"
"41352","大きさ"
"41353","規模"
"41354","寸法"
"41358","有効化する"
"41359","証明する"
"41360","確認する"
"41363","合法化"
"41364","検証"
"41365","妥当性確認"
"41368","再開する"
"41370","変える"
"41371","変化させる"
"41372","変換する"
"41373","変形させる"
"41374","変形"
"41375","変換"
"41378","2進数の"
"41380","状態"
"41381","ステータス"
"41383","状況"
"41388","余白"
"41391","マージン"
"41392","利益幅"
"41394","整列させる"
"41397","整列"
"41398","位置合わせ"
"41402","今の"
"41403","現在の"
"41405","改める"
"41406","変更する"
"41407","交換する"
"41409","バッファ"
"41411","署名する"
"41412","定期購読する"
"41413","同意する"
"41414","賛成する"
"41416","復活させる"
"41417","回復させる"
"41419","修復する"
"41420","復元する"
"41422","メモリ"
"41423","記憶装置"
"41424","記憶"
"41425","思い出"
"41427","イメージ"
"41428","画像"
"41429","映像"
"41431","テンプレート"
"41432","雛形"
"41437","値段"
"41438","価格"
"41442","小文字"
"41443","小文字の"
"41445","大文字"
"41446","大文字の"
"41449","構造"
"41450","組織"
"41451","構造体"
"41455","一時的な"
"41457","仮の"
"41459","雇う"
"41460","雇用"
"41462","従業員"
"41463","社員"
"41464","使用人"
"41467","単元"
"41468","部門"
"41469","単位"
"41472","唯一の"
"41473","ユニークな"
"41474","一意の"
"41476","問題"
"41477","議題"
"41478","課題"
"41479","件名"
"41480","科目"
"41481","教科"
"41482","学科"
"41483","対象"
"41488","隠す"
"41489","非表示にする"
"41491","許可証"
"41492","免許証"
"41494","ライセンス"
"41497","丸める"
"41498","四捨五入する"
"41499","丸みを付ける"
"41502","切る"
"41503","切り取る"
"41505","削除する"
"41506","削減する"
"41508","フォーカス"
"41509","焦点"
"41510","フォーカスする"
"41515","クロールする"
"41516","クロール"
"41519","アスキー"
"41522","垂直の"
"41524","縦の"
"41526","地平線"
"41527","水平線"
"41529","水平の"
"41531","地平線の"
"41533","ハンドルネーム"
"41535","扱う"
"41536","処理する"
"41537","ハンドリングする"
"41539","モジュール"
"41541","警告"
"41542","予告"
"41546","更新する"
"41548","リファラー"
"41550","出版する"
"41551","発行する"
"41553","公表する"
"41555","出版業者"
"41556","出版元"
"41557","出版社"
"41558","発行者"
"41560","実行"
"41561","呼び出し"
"41566","切り捨てる"
"41568","切り上げする"
"41577","プロバイダー"
"41580","クローラー"
"41582","インデクサ"
"41584","オプティマイザ"
"41587","重要な"
"41588","重大な"
"41590","アンダースコア"
"41591","下線"
"41592","下線を引く"
"41595","アンケート"
"41600","支払い"
"41601","納入"
"41603","銀行"
"41604","預金する"
"41607","クレジットカード"
"41612","請求先住所"
"41615","～%割引"
"41617","出荷方法"
"41622","姓"
"41623","名字"
"41625","国"
