"40719","59608","noun","decrement","","0"
"40720","59610","verb","decrement","","0"
"40722","59612","verb","increment","","0"
"40723","59614","verb","increment","","0"
"40724","59616","noun","increment","","0"
"40724","68370","noun","incrementation","","0"
"40725","59618","noun","increment","","1"
"40726","78637","","increment","","0"
"40728","59622","verb","require","","0"
"40728","66188","verb","need","","0"
"40729","59624","verb","require","","0"
"40729","63549","verb","request","","0"
"40731","59626","verb","inquire","","0"
"40731","66933","verb","visit","","1"
"40733","59630","verb","inquire","","0"
"40733","62148","verb","query","","0"
"40733","74585","verb","contact","","0"
"40735","77702","","procedure","","0"
"40736","59634","noun","procedure","","0"
"40736","63071","noun","process","","0"
"40737","61932","noun","strategy","","0"
"40737","63073","noun","process","","0"
"40737","63283","noun","method","","0"
"40738","59638","noun","procedure","","0"
"40740","59640","noun","calendar","","0"
"40741","59642","noun","calendar","","0"
"40743","59644","noun","theme","","0"
"40743","60677","noun","subject","","0"
"40746","77860","","theme","","0"
"40749","78401","noun","setup","","1"
"40750","59654","noun","setup","","0"
"40750","74580","noun","preparation","","0"
"40751","59656","noun","setup","","0"
"40751","65337","noun","configuration","略称 config conf","0"
"40751","69229","noun","setting","","0"
"40753","59658","noun","language","","0"
"40754","59660","noun","language","","0"
"40754","61256","noun","term","","0"
"40761","77936","","locale","","0"
"40762","59668","noun","locale","","0"
"40762","62404","noun","location","","1"
"40762","64017","noun","position","","0"
"40762","67806","noun","place","","0"
"40765","59672","noun","framework","","0"
"40765","74845","noun","scheme","","0"
"40768","59676","noun","description","","0"
"40770","59680","noun","description","","1"
"40770","76706","noun","explanation","","0"
"40770","78922","noun","memo","簡単な説明という意味合いを表現する際にしっくりくることがある。
名称も短い。","0"
"40770","78923","noun","comment","コードやDBスキーマなどの説明を意味する単語は「comment」。
日常でも馴染みのある単語なので使いやすい場面が多い。","0"
"40771","59682","noun","description","","0"
"40771","66154","noun","comment","","0"
"40774","59684","noun","development","","0"
"40774","76624","noun","implementation","実装","0"
"40781","59696","verb","develop","","0"
"40784","59698","verb","display","","0"
"40784","59875","verb","show","","0"
"40785","59700","verb","display","","0"
"40785","75665","verb","exhibit","","0"
"40786","59702","verb","display","","0"
"40786","76115","verb","exhibit","","0"
"40787","77861","","display","","0"
"40788","59706","noun","display","","0"
"40790","59708","noun","page","","0"
"40791","59710","verb","page","","0"
"40794","59714","noun","scaffold","","0"
"40794","74821","noun","scaffolding","","0"
"40796","59716","noun","element","","0"
"40797","59718","noun","element","","0"
"40797","61021","noun","component","","0"
"40799","59720","noun","behavior","","2"
"40799","63877","noun","action","","0"
"40800","59722","noun","behavior","","0"
"40800","63869","noun","action","","0"
"40800","77075","noun","activity","","0"
"40801","59724","noun","behavior","","0"
"40804","59728","noun","root","厳密には、根の意味だが特に指定がなければ、平方根を意味する","0"
"40804","78808","","square root","","1"
"40805","59730","noun","root","","0"
"40805","64657","noun","route","","0"
"40809","59736","noun","nickname","","0"
"40810","59738","noun","nickname","","0"
"40811","59740","noun","nickname","","0"
"40811","67271","noun","abbreviation","","0"
"40813","59742","verb","prefer","","0"
"40814","59744","verb","prefer","","0"
"40817","59746","verb","allow","","0"
"40818","59748","verb","allow","","0"
"40818","60709","verb","license","","0"
"40818","66538","verb","authorize","","0"
"40818","79113","","permit","許可する","1"
"40823","59752","adjective","manual","","0"
"40824","59754","noun","manual","","0"
"40827","59758","noun","excerpt","","0"
"40831","59762","verb","sanitize","","0"
"40835","77625","","label","","0"
"40836","59768","noun","label","","0"
"40836","63989","noun","tag","","0"
"40839","59772","adjective","visible","","0"
"40841","59774","verb","move","","0"
"40842","59776","verb","move","","0"
"40843","59778","verb","move","","0"
"40843","70243","verb","drive","","0"
"40846","59782","noun","notification","","0"
