"3048","78550","transitive verb","","〈今まで知らなかった物を〉発見する，見つける",""
"3070","391","transitive/intransitive verb","","やめる，断念する",""
"3070","392","verb","","辞職する",""
"3070","393","transitive verb","","〈アプリケーションを〉閉じる",""
"3077","1094","abbrev","","{entry:first}の略",""
"3078","1095","abbrev","","{entry:second}の略",""
"3159","10551","intransitive verb","","（高い所から）下る，降りる",""
"3220","10844","transitive verb","","～を診断する",""
"3257","11091","initialism","comp","Asynchronous JavaScript + XMLの頭文字","ウェブブラウザ内で非同期通信とインターフェイスの構築などを行う技術の総称{wiki:Ajax}"
"3258","11092","noun","","ガンマ","ギリシア語アルファベットの第３字’’Γ''、''γ''、英語の''Ｇ''，''ｇ''に相当"
"3280","11169","abbrev","","{entry:maximum}の略",""
"3297","11213","initialism","","代金引き換え払い（{entry:Cash-On-Delivery}の頭文字）",""
"3386","2214","noun","","広がり，大きさ，長さ",""
"3386","2215","noun","","範囲，限度，程度",""
"3439","410","noun","","（物事が）合理的な",""
"3439","411","noun","","（人が）理性的な，分別のある",""
"3439","413","noun","mathematics","有理の",""
"3476","1060","noun","computing","ローカルホスト",""
"3477","11919","adjective","","各々の，それぞれの",""
"3477","11920","pronoun","","各々の人（もの）",""
"3477","11921","adverb","","各々で，それぞれで",""
"3543","28","adjective","","早い，初期の",""
"3543","29","adverb","","早く",""
"3557","572","verb","","感想を述べる",""
"3557","12282","noun","","意見，感想，所感",""
"3567","996","adjective","","より大きい（{entry:great}の比較級）",""
"3568","12315","adjective","","より少ない（{entry:little}の比較級）",""
"3583","12396","abbrev","computing","正規表現（{entry:regular expression}）",""
"3614","78153","preposition","","～と同様に",""
"3614","78154","preposition","","～として",""
"3614","78155","preposition","","～のように（比ゆ）",""
"3725","13216","adverb","","～しなければならない",""
"3737","8","verb","","～をする，行う",""
"3869","202","adjective","logic","偽値の",""
"3869","13984","adjective","","正しくない，誤った",""
"3887","14075","adjective","","={entry:alphabetical}",""
"3988","14643","noun","computing","設定（{entry:configuration}）",""
"3996","14689","noun","programming","シングルトンクラス（''singleton class''）",""
"3996","14690","noun","","１枚札（カードゲームで手持ち札の中のある組札が１枚しかないこと）",""
"4027","78090","initialism","","自己組織化写像（''Self-Organizing Maps''の頭文字）","コホネンが提案した、教師なし学習によって、入力データ群をそのデータ間の関係を保ったまま、任意の次元へと写像することができる、大脳皮質の視覚野をモデル化した人工ニューラルネットワークの一種である。 {wiki:自己組織化写像}"
"4057","14885","adjective","","自動の",""
"4067","78074","abbrev","comp","非同期の（{entry:asynchronous}の略）",""
"4095","79","adverb","","～など，その他…","ラテン語の''et cetera''の略"
"4097","571","noun","software development","リリース候補","〈略〉RC"
"4107","78082","initialism","internet","{entry:Blind Carbon Copy}の頭文字",""
"4112","78178","adjective","","悪い，不良の",""
"4123","226","noun","colloquial","ラボ（{entry:laboratory}の略）",""
"4142","15056","transitive verb","","～を配分する、割り当てる",""
"4142","78127","transitive verb","computing","〈メモリーを〉割り当てる",""
"4148","1748","noun","","社説","〈英〉''leading article''、{entry:leader}"
"4148","1749","adjective","","編集者の，編集上の",""
"4148","1750","adjective","","社説の",""
"4201","1270","noun","","（余分な部分を）切って短くすること",""
"4201","1271","noun","mathematics","切捨て",""
"4301","15401","adverb","","十分に，完全に",""
"4304","15411","conjunction","","しかし，だが，けれども",""
"4322","15484","","","〈英〉{entry:center}",""
"4388","1680","noun","","{entry:stylesheet}を参照",""
"4406","15630","abbrev","","{entry:evaluation}の略",""
"4431","1344","verb","computing","〈ファイルを〉grepする，パータン検索する",""
"4431","15662","noun","computing","grep","ファイルをパターン検索するためのプログラム"
"4435","234","verb","","選び取る",""
"4435","235","verb","","摘む（つまむ）",""
"4477","78086","noun","comp","モンゴメリ乗算","特に時間のかかる除算を実質的に行うことなく、乗算・加減算・シフト演算のみで、高速に整数の積の剰余を求めることのできるアルゴリズム{wiki:モンゴメリ乗算}"
"4509","15851","noun","","={entry:filename}",""
"4531","15876","noun","","死，死亡",""
"4551","332","noun","","{entry:programming}の別の書き方",""
"4587","15980","noun","mathematics","コサイン，余弦",""
"4656","16114","noun","computing","字句解析器（{entry:lexical analyzer}の略）",""
"4727","16317","noun","","（缶などを）開ける道具",""
"4737","16334","adjective","","={entry:geographical}",""
"4753","16380","abbrev","","{entry:corporation}の略",""
"4758","78242","noun","","建物，建造物，ビルディング",""
"4758","78243","noun","","建築，建築術",""
"4765","78422","noun","computing","データフロー","コンポーネント間のデータの流れ{wiki:データフロー}"
"4765","78425","noun","computing","（パケットの）データフロー","データパケットの経路"
"4829","16572","noun","","ウェブブラウザー","インターネットのホームページなどを閲覧するためのソフト"
"4846","1797","abbrev","","{entry:temporary}の略",""
"4846","16643","abbrev","","{entry:temperature}の略",""
"4859","16696","noun","","金額",""
"4867","1140","transitive verb","","～をラテン語で翻訳する",""
"4867","1141","transitive verb","","～をラテン文字に書き直す",""
"4877","16724","noun","","={entry:mergesort}",""
"4897","16763","noun","","{entry:Software as a Service}の頭文字","必要な機能を必要な分だけサービスとして利用できるようにしたソフトウェア（主にアプリケーションソフトウェア）もしくはその提供形態のこと。一般にはインターネット経由で必要な機能を利用する仕組みで、シングルシステム・マルチテナント方式になっているものを指す。{wiki:SaaS}"
"4898","16764","noun","","{entry:Platform as a Service}の頭文字","インターネットを利用したコンピュータの新しい利用形態の1つ{wiki:PaaS}"
"4916","16810","noun","","出張","{entry:business trip}とも言う"
"4947","16873","abbrev","","{entry:enumeration}の略",""
"4998","519","verb","","{entry:refuse}の過去・過去分詞",""
"5008","17011","abbrev","","試験（{entry:examination}の略）",""
"5010","17013","noun","","不釣り合い（な組み合わせ），不一致",""
"5010","17014","transitive verb","","～を不釣り合いに組み合わせる",""
"5016","17032","abbrev","","日曜日（{entry:Sunday}の略）",""
"5017","17033","abbrev","","土曜日（{entry:Saturday}の略）",""
"5018","17034","abbrev","","木曜日（{entry:Thursday}の略）",""
"5019","17035","abbrev","","水曜日（{entry:Wednesday}の略）",""
"5054","17112","noun","computing","エラーログ",""
"5076","78441","transitive verb","","〈２つの結合したもの〉引き離す",""
"5149","17343","noun","","（行動などの）自主性，自立性",""
"5155","17351","noun","","粒度",""
"5180","17401","noun","mathematics","逆ポーランド表記法，逆ポーランド記法","数式やプログラムを記述する方法の一種。演算子（オペレータ）を被演算子（オペランド）の後（右）に記述することから、後置記法（Postfix Notation）とも言う。{wiki:逆ポーランド記法}"
"5196","2186","adverb","","（形容詞・副詞の最上級を作って）最も",""
"5199","17480","noun","","表示順",""
"5215","17515","noun","","左側",""
"5238","17574","noun","computing","ウェブサーバー","HTTPに則り、クライアントソフトウェアのウェブブラウザに対して、HTMLやオブジェクト（画像など）の表示を提供するサービスプログラム及び、そのサービスが動作するサーバコンピュータを指す。{wiki:Webサーバ}"
"5247","17589","noun","programing","文字定数",""
"5341","17747","abbrev","","{entry:environment}の略",""
"5352","17785","noun","computing","正規表現（{entry:regular expression}）",""
"5381","17865","abbrev","","={entry:number}",""
"5414","17931","noun","","={entry:fiscal year}",""
"5420","1348","intransitive verb","","推測する",""
"5420","1349","transitive verb","","～を推測する，推量する，憶測する",""
"5420","1350","noun","","推測，推量",""
"5427","17954","noun","statistics","ガウス分布","平均値の付近に集積するようなデータの分布を表した連続的な変数に関する確率分布{wiki:正規分布}"
"5468","78144","intransitive verb","","出現する",""
"5474","18051","noun","computing","構造化プログラミング","プログラム上の手続きをいくつかの単位に分け、メインとなる処理では大まかな処理を記述し、サブルーチンによって細部を記述していく方法。1967年、エドガー・ダイクストラらによって提唱された。{wiki:構造化プログラミング}"
"5481","18064","abbrev","","{entry:procedure}の略",""
"5493","18076","noun","data management","参照データ","規格団体など外部の組織から得られる通貨コードや国コードなどの静的なデータのこと。組織内から発生する静的なデータは、マスターデータ（{entry:master data}）として区別する。"
"5501","18089","noun","","地質，地質学",""
"5524","1375","adjective","","（肉体的・精神的に）難しい",""
"5524","1376","adjective","","熱心な",""
"5524","1377","adjective","","辛い，厳しい",""
"5524","18134","adjective","","硬い",""
"5535","18147","noun","computing","分散コンポーネントオブジェクトモデル，DCOM","ネットワーク上に分散配置されたコンピュータ上のソフトウェアコンポーネント間通信のためのマイクロソフト独自の技術{wiki:Distributed Component Object Model}"
"5537","18156","noun","","ピーティーエー","各学校ごとに組織された、保護者と教職員による教育関係団体のこと。PTAは、 アメリカ合衆国、カナダ、イギリス、イギリス連邦諸国、日本などで用いられる呼称{wiki:PTA}"
"5551","18195","abbrev","","{entry:parameter}の略",""
"5571","2154","noun","","概観",""
"5571","2155","noun","","調査",""
"5571","2156","noun","","測量",""
"5571","2157","verb","","見渡す，概観する",""
"5571","2158","verb","","調査する",""
"5571","2159","verb","","測量する",""
